,alpha,solver,tolerance,score
314,1.0,sag,0.0001,0.003763574033110101
315,1.0,sag,0.001,0.002693320636075101
316,1.0,sag,0.001,0.00679988002636923
317,1.0,sag,0.001,0.0005982259586236116
318,1.0,sag,0.001,0.0032277217440726718
319,1.0,sag,0.001,0.0037682350226147477
320,1.0,sag,0.01,0.0027365374194800226
321,1.0,sag,0.01,0.00731190640506205
322,1.0,sag,0.01,0.0007023016857904984
323,1.0,sag,0.01,0.003668939329992088
324,1.0,sag,0.01,0.003800533592415861
325,1.0,saga,1e-06,0.0026972732373211237
326,1.0,saga,1e-06,0.007045697590357402
327,1.0,saga,1e-06,0.0006410376603446131
328,1.0,saga,1e-06,0.003439785565872132
329,1.0,saga,1e-06,0.0037796351341754433
330,1.0,saga,1e-05,0.002697243349407021
331,1.0,saga,1e-05,0.007045608378171504
332,1.0,saga,1e-05,0.0006410376634195248
333,1.0,saga,1e-05,0.003439857655449412
334,1.0,saga,1e-05,0.0037797066202080146
335,1.0,saga,0.0001,0.0026972736697046256
336,1.0,saga,0.0001,0.007045915787246316
337,1.0,saga,0.0001,0.0006410260593957353
338,1.0,saga,0.0001,0.0034400355141004954
339,1.0,saga,0.0001,0.0037797864206912894
340,1.0,saga,0.001,0.0026986488954255997
341,1.0,saga,0.001,0.007060188796944866
342,1.0,saga,0.001,0.0006445777031597726
343,1.0,saga,0.001,0.0034514420247750126
344,1.0,saga,0.001,0.003781521092298762
345,1.0,saga,0.01,0.0027441501174213564
346,1.0,saga,0.01,0.007346619255142474
347,1.0,saga,0.01,0.0007111822990871062
348,1.0,saga,0.01,0.003699298239787296
349,1.0,saga,0.01,0.0038037987724501288
350,10.0,auto,1e-06,0.004202029778577989
351,10.0,auto,1e-06,0.004592320442295057
352,10.0,auto,1e-06,0.0008076618577224161
353,10.0,auto,1e-06,0.0015041798782480336
354,10.0,auto,1e-06,0.003785822490094346
355,10.0,auto,1e-05,0.004202029778577989
356,10.0,auto,1e-05,0.004592320442295057
357,10.0,auto,1e-05,0.0008076618577224161
358,10.0,auto,1e-05,0.0015041798782480336
359,10.0,auto,1e-05,0.003785822490094346
360,10.0,auto,0.0001,0.004202029778577989
361,10.0,auto,0.0001,0.004592320442295057
362,10.0,auto,0.0001,0.0008076618577224161
363,10.0,auto,0.0001,0.0015041798782480336
364,10.0,auto,0.0001,0.003785822490094346
365,10.0,auto,0.001,0.004202029778577989
366,10.0,auto,0.001,0.004592320442295057
367,10.0,auto,0.001,0.0008076618577224161
368,10.0,auto,0.001,0.0015041798782480336
